B|早餐,L|午晚餐,D|單點,SA|甜心卡A區,SB|甜心卡B區,PR|1+1紅區,PW|1+1白區
餐點編號    ,類別  ,品項                ,價格,卡路里
B001        ,早餐  ,豬肉滿福堡加蛋      ,58,389
B002        ,早餐  ,豬肉滿福堡          ,48  ,316
B003        ,早餐  ,香雞滿福堡加蛋      ,58  ,419
B004        ,早餐  ,香雞滿福堡          ,48  ,346
B005        ,早餐  ,吉事蛋堡            ,32  ,282
B006        ,早餐  ,雞塊鬆餅大早餐      ,109 ,664
B007        ,早餐  ,無敵豬肉滿福堡加蛋  ,78  ,509
B008        ,早餐  ,滿福堡              ,50  ,290
B009        ,早餐  ,清蔬滿福堡          ,58  ,292
B010        ,早餐  ,火腿蛋堡            ,50  ,302
B011        ,早餐  ,香雞蛋堡            ,62  ,414
B012        ,早餐  ,豬肉蛋堡            ,62  ,404
B013        ,早餐  ,豬肉雙蛋堡          ,77  ,468
B014        ,早餐  ,香雞雙蛋堡          ,77  ,472
B015        ,早餐  ,吉事雙蛋堡          ,47  ,346
B016        ,早餐  ,火腿雙蛋堡          ,65  ,366
B017        ,早餐  ,經典大早餐          ,69  ,411
B018        ,早餐  ,豬肉鬆餅            ,69  ,439
B019        ,早餐  ,鬆餅(3片)           ,55  ,319
B020        ,早餐  ,現烤焙果            ,55  ,244
B021        ,早餐  ,培根番茄燉蛋焙果堡  ,79  ,440
B022        ,早餐  ,起司番茄燉蛋焙果堡  ,69  ,421
L001        ,午晚餐,雙層牛肉吉事堡      ,65,467
L002        ,午晚餐,麥克雞塊10塊        ,104,449
L003        ,午晚餐,勁辣雞腿堡          ,75,493
L004        ,午晚餐,麥脆雞腿            ,120,747
L005        ,午晚餐,蕈菇安格斯黑牛堡    ,124 ,575
L006        ,午晚餐,凱薩脆雞沙拉        ,104 ,347
L007        ,午晚餐,大麥克              ,75  ,548
L008        ,午晚餐,嫩煎雞腿堡          ,80  ,363
L009        ,午晚餐,麥香雞              ,45  ,360
L010        ,午晚餐,六塊麥克雞塊        ,64  ,270
L011        ,午晚餐,麥脆雞翅（2隻）     ,98  ,611
L012        ,午晚餐,麥香魚              ,49  ,330
L013        ,午晚餐,煙燻雞肉長堡        ,74  ,381
L014        ,午晚餐,薑燒豬肉長堡        ,114 ,483
L015        ,午晚餐,安格斯黑牛堡        ,114 ,544
L016        ,午晚餐,辣脆雞腿堡          ,114 ,554
L017        ,午晚餐,嫩煎雞腿堡          ,114 ,455
L018        ,午晚餐,義式烤雞沙拉        ,104 ,248
D001        ,單點  ,蘋果派              ,35  ,229
D002        ,單點  ,薯餅                ,32  ,109
D003        ,單點  ,薯條(大)            ,58  ,529
D004        ,單點  ,玉米湯(大)          ,55  ,140
